example_id,family,domain,profile_variant,zone,query_kind,query,action,prediction,pred_relation,decision_confidence,pred_family,pred_profile_variant,pred_owner,pred_information_type,pred_temporal_validity,memory_parse_mode,decision_parse_mode,structured_memory,decision_raw_output
writing_formality-test-013-inside-scoped,writing_formality,writing,scoped,inside,inside,Help me write to a potential employer.,APPLY,IGNORE,unknown,0.0,writing_formality,scoped,academic_or_official_recipients,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_formality"", ""family"": ""writing_formality"", ""owner"": ""academic_or_official_recipients"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""formal_request"", ""does_not_apply_when"": ""academic_or_official_recipients"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This draft is addressed to a professor, so the audience requires formality."", ""It is an audience-specific requirement, not my universal style.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_examples-test-009-near-stable,education_examples,education,stable,inside,near,Choose whether to include examples; I have not stated my purpose.,APPLY,IGNORE,unknown,0.0,writing_conciseness,stable,writing_directness,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_examples"", ""family"": ""writing_conciseness"", ""owner"": ""writing_directness"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""context-dependent"", ""does_not_apply_when"": ""none"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""I generally understand ideas best through concrete examples."", ""Example-driven teaching is a stable preference for me.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":""The information type 'temporary_constraint' indicates that the constraint may change based on context. Since you haven't specified your purpose, there isn't enough information to determine if including examples aligns with your preferences."",""reason"":""material fact needed to distinguish APPLY from IGNORE is genuinely missing""}"
travel_proximity-test-004-inside-stable,travel_proximity,travel,stable,inside,inside,The schedule is compressed and I must reach the conference hall before dawn.,APPLY,IGNORE,mismatch,0.0,travel_comfort,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_proximity"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""relaxed_vacations"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Another short conversation concerned a book recommendation."", ""Across trips, staying close to the main destination is my default."", ""There was an unrelated request to rename several documents.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query 'The schedule is compressed and I must reach the conference hall before dawn' does not directly relate to the travel preferences specified in the memory."",""reason"":""The query focuses on time management rather than travel proximity or comfort.""}"
food_quick_meals-test-011-inside-scoped,food_quick_meals,food,scoped,inside,inside,I am racing to finish a project and need food immediately.,APPLY,IGNORE,mismatch,0.0,writing_directness,scoped,session_owner,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_owner"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""deadline_period"", ""does_not_apply_when"": ""general_cooking_preference"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This week I have an unusually heavy deadline."", ""We also discussed the weather for an unrelated day trip.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The urgency of finishing your project may lead you to prioritize immediate food over other considerations such as general cooking preferences."",""reason"":""The current query indicates a high priority on completing the project, which might override any general preferences related to food preparation.""}"
food_vegetarian-test-013-near-scoped,food_vegetarian,food,scoped,near,near,"Recommend food, but I have not confirmed whether my sister is attending.",CLARIFY,IGNORE,unknown,0.0,food_vegetarian,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""food_vegetarian"", ""family"": ""food_vegetarian"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""meat_free_request"", ""does_not_apply_when"": ""general_diet"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Session 1: I normally eat meat and fish myself."", ""Session 2: Another short conversation concerned a book recommendation."", ""Session 3: Please suggest a vegetarian meal.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_examples-test-000-near-stable,education_examples,education,stable,inside,near,"Help with this concept, but the final use of the answer is unknown.",APPLY,IGNORE,unknown,0.0,writing_directness,stable,example_session_1_to_7,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""example_session_1_to_7"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_5_and_6"", ""does_not_apply_when"": ""session_1_to_4"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Example-driven teaching is a stable preference for me."", ""A different session was about fixing a small Python error."", ""There was a separate exchange about organizing files on a laptop.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""The current query does not provide enough information to determine whether the preference should be applied or ignored.""}"
travel_comfort-test-004-outside-stable,travel_comfort,travel,stable,inside,outside,"Recovery is complete, so basic transportation is fine now.",APPLY,IGNORE,mismatch,0.0,travel_comfort,stable,session_5,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""for_this_trip"", ""does_not_apply_when"": ""not_for_short_journeys"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""For this trip, choose the most comfortable option."", ""Across trips, I am willing to pay more for an easier experience.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The current query indicates that recovery is complete and basic transportation is fine now, which does not align with the previous preferences related to travel comfort."",""reason"":""The query suggests a change in circumstances (recovery completed) without specifying how this affects the previously established preferences.""}"
food_vegetarian-test-008-inside-scoped,food_vegetarian,food,scoped,inside,inside,"Plan dinner for my sister, who still follows a vegetarian diet.",APPLY,IGNORE,mismatch,0.0,food_vegetarian,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""food_vegetarian"", ""family"": ""food_vegetarian"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""meat_free_request"", ""does_not_apply_when"": ""general_diet"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""This meat-free request applies only when I am cooking for her."", ""The vegetarian guest is my sister, not me."", ""It should not be stored as my own general diet.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided suggests that your sister's dietary preferences may change based on context, so we cannot apply the 'food_vegetarian' preference in this case."",""reason"":""The evidence indicates that the preference might not always apply due to changing circumstances.""}"
education_answer_only-test-002-inside-stable,education_answer_only,education,stable,inside,inside,I have almost no time; state only the correct choice.,APPLY,IGNORE,mismatch,0.0,writing_conciseness,stable,none,temporary_constraint,persistent,json,json,"{""preference"": ""answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""none"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""across_subjects"", ""does_not_apply_when"": ""extra_time_pressure"", ""temporal_validity"": ""persistent"", ""confidence"": 0.9, ""evidence"": [""The final result is my persistent preference when asking for help."", ""Across subjects, I usually work through the reasoning independently.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided does not specify whether you are self-funded or fully reimbursed, which making it unclear how your preferences should apply."",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
food_quick_meals-test-005-outside-stable,food_quick_meals,food,stable,inside,outside,Work is finished and I have the whole afternoon to cook.,APPLY,IGNORE,unknown,0.0,writing_directness,stable,session_history,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_history"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""weather_for_trip"", ""does_not_apply_when"": ""travel_proximity"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Fast recipes are my persistent cooking preference."", ""Across weekdays and weekends, preparation time is a major priority.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_answer_only-test-002-near-scoped,education_answer_only,education,scoped,near,near,"Respond to the problem, but I have not described the learning context.",CLARIFY,IGNORE,mismatch,0.0,writing_conciseness,scoped,session_5,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""timed_practice_round"", ""does_not_apply_when"": ""general_learning_style"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Another message asked for a summary of a news article."", ""It is a temporary task constraint, not my general learning style.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query asks about the learning context, which is unrelated to the previous information provided."",""reason"":""The query's focus on the learning context contradicts the previous information that was given as a temporary constraint.""}"
writing_directness-test-006-near-stable,writing_directness,writing,stable,inside,near,"Write the message, although I have not said whether this is a conflict.",APPLY,IGNORE,mismatch,0.0,writing_directness,stable,none,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""none"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""context-dependent"", ""does_not_apply_when"": ""education_answer_only,travel_budget,personal_information"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Across contexts, I prefer people to state the point clearly."", ""Avoiding unnecessary hedging is a persistent preference of mine."", ""We briefly talked about a grocery list for the weekend.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query 'Write the message, although I have not said whether this is a conflict.' does not directly relate to my preferences as stated in the MEMORY section."",""reason"":""The query lacks specific information that would allow me to determine if it should apply or ignore based on my established preferences.""}"
education_examples-test-005-near-scoped,education_examples,education,scoped,near,near,Choose whether to include examples; I have not stated my purpose.,CLARIFY,IGNORE,mismatch,0.0,writing_conciseness,scoped,session_4,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_examples"", ""family"": ""writing_conciseness"", ""owner"": ""session_4"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_session"", ""does_not_apply_when"": ""all_sessions_except_this_one"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This concept is unusually abstract, so examples are needed for this topic.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information type 'temporary_constraint' suggests that the constraint may change over time, making it unclear how to apply or ignore the example inclusion based on the current context."",""reason"":""The temporal validity of 'context-dependent' indicates that the constraint's applicability might vary depending on the situation.""}"
food_quick_meals-test-004-near-scoped,food_quick_meals,food,scoped,near,near,I have not said whether I am still busy or finally free.,CLARIFY,IGNORE,mismatch,0.0,writing_directness,scoped,session_6,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_6"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""deadline_period"", ""does_not_apply_when"": ""general_cooking_preference"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""It is a temporary time constraint, not my general cooking preference.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided does not directly relate to the preference for writing directness."",""reason"":""The query asks about being busy or free, which which is unrelated to the preference for writing directness.""}"
education_detail-test-007-near-scoped,education_detail,education,scoped,near,near,Choose the amount of explanation; my current goal is unclear.,CLARIFY,IGNORE,unknown,0.0,writing_directness,stable,session_owner,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_owner"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""routine_checks_timed_quizzes"", ""does_not_apply_when"": ""organizing_files_laptop,unrelated_request_rename_documents,new_topic_learning_material"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""For routine checks and timed quizzes, I usually want only the answer."", ""It is not a universal response-style preference.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""The current query does not provide enough information to determine whether the preference should be applied, ignored, or clarified.""}"
travel_proximity-test-015-near-stable,travel_proximity,travel,stable,inside,near,The purpose and schedule of the visit are still unclear.,APPLY,IGNORE,mismatch,0.0,travel_comfort,stable,session_owner,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_proximity"", ""family"": ""travel_comfort"", ""owner"": ""session_owner"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""context-dependent"", ""does_not_apply_when"": ""writing_conciseness,write_formality,write_directness,education_detail,education_examples,education_answer_only,food_vegetarian,food_spiciness,food_quick_meals,travel_budget,travel_comfort"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Across trips, staying close to the main destination is my default."", ""Another message asked for a summary of a news article.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The current query does not provide enough information to determine whether you prefer travel proximity or comfort."",""reason"":""The query 'The purpose and schedule of the visit are still unclear' does not specify which aspect (proximity or comfort) is more important.""}"
education_detail-test-008-inside-scoped,education_detail,education,scoped,inside,inside,"I am new to this subject, so build the explanation from first principles.",APPLY,IGNORE,unknown,0.0,writing_conciseness,scoped,writing_directness,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""writing_directness"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_7"", ""does_not_apply_when"": ""all_other_sessions"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""There was a separate exchange about organizing files on a laptop."", ""It is not a universal response-style preference.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
travel_budget-test-014-near-scoped,travel_budget,travel,scoped,near,near,It is unclear whether I or the sponsor will cover accommodation.,CLARIFY,IGNORE,mismatch,0.0,travel_comfort,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""general_travel_preference"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Another message asked for a summary of a news article."", ""Cheap accommodation is not a general travel preference for me."", ""The low-price request is only for this capped trip.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided is insufficient to determine if I or the sponsor will cover accommodation."",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_examples-test-014-near-scoped,education_examples,education,scoped,near,near,Choose whether to include examples; I have not stated my purpose.,CLARIFY,IGNORE,unknown,0.0,writing_conciseness,scoped,session_3,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_examples"", ""family"": ""writing_conciseness"", ""owner"": ""session_3"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""Session_3"", ""does_not_apply_when"": ""Session_1|Session_2|Session_4|Session_5|Session_6"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""{'text': 'This concept is unusually abstract, so examples are needed for this topic.'}"", ""{'text': 'Please teach this with several concrete examples.'}""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":""The information provided is insufficient to determine an appropriate action."",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
writing_conciseness-test-014-near-stable,writing_conciseness,writing,stable,inside,near,Should this be a quick answer or a tutorial? I have not decided.,APPLY,IGNORE,unknown,0.0,writing_directness,stable,writing_conciseness,temporal_validity,persistent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""writing_conciseness"", ""information_type"": ""temporal_validity"", ""applies_when"": ""persistent"", ""does_not_apply_when"": ""education_answer_only"", ""temporal_validity"": ""persistent"", ""confidence"": 0.9, ""evidence"": [""Even when I have time, I usually want the direct answer first."", ""Brevity is a persistent interaction preference for me.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
travel_comfort-test-007-inside-stable,travel_comfort,travel,stable,inside,inside,My current physical condition requires extra travel comfort.,APPLY,IGNORE,mismatch,0.0,travel_comfort,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""other_trips"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""There was an unrelated request to rename several documents."", ""Comfort is a persistent travel preference for me."", ""Even for short journeys, I avoid inconvenient travel options.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query 'My current physical condition requires extra travel comfort' does not directly apply to my personal preferences related to 'travel_comfort'."", ""reason"":""The query focuses on physical condition rather than travel preferences.""}"
travel_budget-test-008-near-scoped,travel_budget,travel,scoped,near,near,It is unclear whether I or the sponsor will cover accommodation.,CLARIFY,IGNORE,unknown,0.0,travel_comfort,scoped,session_history,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_budget"", ""family"": ""travel_comfort"", ""owner"": ""session_history"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""general_travel_preferences"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""There was a separate exchange about organizing files on a laptop."", ""Cheap accommodation is not a general travel preference for me.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
