example_id,group_id,twin_pair_id,split,family,domain,profile_variant,query_kind,zone,history,query,action,preference_label,owner,information_type,temporal_validity,applies_when,does_not_apply_when,clarification_question,apply_response,neutral_response
writing_formality-train-027-outside-scoped,writing_formality-train-027,writing_formality-train-027-outside,train,writing_formality,writing,scoped,outside,outside,"Session 1: It is an audience-specific requirement, not my universal style.
Session 2: This draft is addressed to a professor, so the audience requires formality.
Session 3: Another message asked for a summary of a news article.
Session 4: There was an unrelated request to rename several documents.
Session 5: Make this draft professional and formal.
Session 6: The formal request applies only to academic or official recipients.
Session 7: I use a relaxed tone with friends and close teammates.",Turn this into a casual text for my roommates.,IGNORE,formal writing style,user,contextual_preference,context-dependent,"the recipient is a professor, administrator, employer, or other official audience",the recipient is a close friend or an informal peer group,Who is the recipient: an official contact or someone you know casually?,"I will use a formal, professional tone suitable for the recipient.",I will use a natural informal tone rather than transferring the official style.
travel_comfort-train-046-near-scoped,travel_comfort-train-046,travel_comfort-train-046-near,train,travel_comfort,travel,scoped,near,near,"Session 1: I am recovering from a temporary back injury.
Session 2: After recovery, I usually accept basic low-cost travel.
Session 3: Prioritize comfort over saving a small amount of money.
Session 4: Another message asked for a summary of a news article.
Session 5: This comfort requirement is temporary, not a universal preference.
Session 6: There was an unrelated request to rename several documents.
Session 7: Extra comfort is medically useful during this recovery period.",I need transportation; my current physical condition is unknown.,CLARIFY,high-comfort travel,user,temporary_state,context-dependent,"the user is currently injured, physically exhausted, or needs accessibility support",the user has recovered and is planning a routine low-cost trip,Do you still need extra comfort or accessibility support for this trip?,"I will prioritize comfort, accessibility, and a low-strain itinerary.",I will not assume the temporary comfort requirement still applies.
travel_budget-train-016-inside-scoped,travel_budget-train-016,travel_budget-train-016-inside,train,travel_budget,travel,scoped,inside,inside,"Session 1: This trip is different because the university reimbursement cap is strict.
Session 2: Another short conversation concerned a book recommendation.
Session 3: There was an unrelated request to rename several documents.
Session 4: The low-price request is only for this capped trip.
Session 5: Recommend an inexpensive hotel that is still acceptable.
Session 6: Cheap accommodation is not a general travel preference for me.
Session 7: I usually enjoy comfortable premium hotels.",I am paying for this trip myself and my budget is tight.,APPLY,budget-conscious accommodation,user,temporary_constraint,context-dependent,the traveler is paying personally or a strict reimbursement cap applies,the trip is fully reimbursed without a cap,"Will you pay personally, or is this trip reimbursed without a cap?","I will prioritize inexpensive, clean accommodation.",I will consider comfort and quality rather than assuming price is the main criterion.
travel_proximity-train-025-near-stable,travel_proximity-train-025,travel_proximity-train-025-near,train,travel_proximity,travel,stable,near,inside,"Session 1: Proximity is a persistent accommodation preference for me.
Session 2: We also discussed the weather for an unrelated day trip.
Session 3: Find a hotel as close to the venue as possible.
Session 4: Even on relaxed vacations, I dislike long travel from the hotel.
Session 5: I generally prioritize location over hotel amenities.
Session 6: Another short conversation concerned a book recommendation.
Session 7: Across trips, staying close to the main destination is my default.","I need a hotel, but I have not described the trip schedule.",APPLY,accommodation close to the destination,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a tightly scheduled short visit, or a relaxed leisure trip?",I will prioritize hotels close to the main destination.,I will consider quieter or more comfortable areas instead of assuming proximity is essential.
writing_directness-train-021-outside-scoped,writing_directness-train-021,writing_directness-train-021-outside,train,writing_directness,writing,scoped,outside,outside,"Session 1: It is not my general approach for every audience.
Session 2: This is an internal logistics message where speed matters.
Session 3: There was a separate exchange about organizing files on a laptop.
Session 4: Another short conversation concerned a book recommendation.
Session 5: Remove hedging and state the request clearly.
Session 6: The direct style is limited to operational requests.
Session 7: For emotional or conflict-sensitive conversations, I prefer gentler wording.",Help me comfort a friend who is grieving.,IGNORE,direct communication,user,contextual_preference,context-dependent,"the message concerns logistics, deadlines, or clear task assignment","the message addresses grief, conflict, rejection, or another sensitive situation","Is this a routine logistical request, or a sensitive interpersonal message?",I will state the request directly and remove unnecessary hedging.,I will use gentler wording because the earlier direct style does not fit this context.
food_vegetarian-test-005-inside-stable,food_vegetarian-test-005,food_vegetarian-test-005-inside,test,food_vegetarian,food,stable,inside,inside,"Session 1: I am consistently vegetarian in my own meals.
Session 2: We also discussed the weather for an unrelated day trip.
Session 3: For this request, avoid meat and fish.
Session 4: There was an unrelated request to rename several documents.
Session 5: Vegetarian eating is a persistent personal preference.
Session 6: Even at celebrations, I choose vegetarian dishes.
Session 7: Across restaurants and home cooking, I avoid meat and fish.","Plan dinner for my sister, who still follows a vegetarian diet.",APPLY,vegetarian meals,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this meal for you, or for the vegetarian guest you mentioned?",I will recommend a fully vegetarian meal.,I will not treat another person's diet as your own preference.
education_examples-train-019-near-scoped,education_examples-train-019,education_examples-train-019-near,train,education_examples,education,scoped,near,near,"Session 1: It is not required in every educational response.
Session 2: There was a separate exchange about organizing files on a laptop.
Session 3: We also discussed a calendar reminder for next month.
Session 4: This concept is unusually abstract, so examples are needed for this topic.
Session 5: Use examples rather than only abstract definitions.
Session 6: For reference sheets, I prefer compact definitions without examples.
Session 7: The request for examples applies only to abstract learning sessions.",Prepare the material; the intended format is unclear.,CLARIFY,example-driven teaching,user,contextual_preference,context-dependent,"the concept is abstract, unfamiliar, or explicitly taught for understanding","the user requests a compact reference, formula sheet, or glossary entry","Is this for learning the idea, or for a compact reference sheet?",I will include concrete examples and connect them to the abstract idea.,I will keep this as a compact reference without adding worked examples.
food_vegetarian-train-009-near-scoped,food_vegetarian-train-009,food_vegetarian-train-009-near,train,food_vegetarian,food,scoped,near,near,"Session 1: I normally eat meat and fish myself.
Session 2: It should not be stored as my own general diet.
Session 3: There was an unrelated request to rename several documents.
Session 4: For this request, avoid meat and fish.
Session 5: This meat-free request applies only when I am cooking for her.
Session 6: There was a separate exchange about organizing files on a laptop.
Session 7: The vegetarian guest is my sister, not me.",Plan a meal; the guests are still unknown.,CLARIFY,vegetarian meals,sister,other_owner,context-dependent,the meal is for the vegetarian sister or another explicitly vegetarian guest,the meal is for the user alone and no vegetarian guest is involved,"Is this meal for you, or for the vegetarian guest you mentioned?",I will recommend a fully vegetarian meal.,I will not treat another person's diet as your own preference.
writing_conciseness-train-030-near-stable,writing_conciseness-train-030,writing_conciseness-train-030-near,train,writing_conciseness,writing,stable,near,inside,"Session 1: Across our conversations, short responses are my default.
Session 2: For this request, give me only the key points.
Session 3: Even when I have time, I usually want the direct answer first.
Session 4: I generally prefer concise answers across most tasks.
Session 5: A different session was about fixing a small Python error.
Session 6: We briefly talked about a grocery list for the weekend.
Session 7: Brevity is a persistent interaction preference for me.","Respond in the style I need, but I have not specified the context.",APPLY,concise answers,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Would you like only the final answer, or a detailed step-by-step explanation?",I will keep the answer concise and give the main result first.,I will not force the earlier brevity preference onto this learning request.
travel_proximity-train-016-near-stable,travel_proximity-train-016,travel_proximity-train-016-near,train,travel_proximity,travel,stable,near,inside,"Session 1: I generally prioritize location over hotel amenities.
Session 2: Proximity is a persistent accommodation preference for me.
Session 3: Another message asked for a summary of a news article.
Session 4: There was an unrelated request to rename several documents.
Session 5: Across trips, staying close to the main destination is my default.
Session 6: Find a hotel as close to the venue as possible.
Session 7: Even on relaxed vacations, I dislike long travel from the hotel.","I need a hotel, but I have not described the trip schedule.",APPLY,accommodation close to the destination,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a tightly scheduled short visit, or a relaxed leisure trip?",I will prioritize hotels close to the main destination.,I will consider quieter or more comfortable areas instead of assuming proximity is essential.
food_spiciness-train-039-outside-stable,food_spiciness-train-039,food_spiciness-train-039-outside,train,food_spiciness,food,stable,outside,inside,"Session 1: Avoiding chili heat is a persistent preference for me.
Session 2: There was a separate exchange about organizing files on a laptop.
Session 3: Please make the dish mild rather than spicy.
Session 4: Across cuisines, I consistently choose mild dishes.
Session 5: Even when others order spicy food, I select the mild option.
Session 6: We also discussed a calendar reminder for next month.
Session 7: I generally dislike spicy food.",My stomach has recovered; recommend a hot chili dish.,APPLY,mild food,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is your stomach still sensitive, or has the temporary restriction ended?",I will recommend a mild dish with little or no chili heat.,I will not assume the temporary mild-food restriction still applies.
food_quick_meals-test-001-near-scoped,food_quick_meals-test-001,food_quick_meals-test-001-near,test,food_quick_meals,food,scoped,near,near,"Session 1: It is a temporary time constraint, not my general cooking preference.
Session 2: This week I have an unusually heavy deadline.
Session 3: Normally I enjoy slow cooking when my schedule is open.
Session 4: For this request, prioritize speed and convenience.
Session 5: We also discussed a calendar reminder for next month.
Session 6: We also discussed the weather for an unrelated day trip.
Session 7: The quick-meal request applies only during the deadline period.",I have not said whether I am still busy or finally free.,CLARIFY,quick-to-prepare meals,user,current_goal,context-dependent,the user is currently facing a deadline or has very limited cooking time,the deadline has passed and the user has time for relaxed cooking,"Are you still under time pressure, or do you have time for a longer recipe?","I will prioritize a fast, low-preparation meal.",I will consider a more involved recipe instead of assuming you are still time-constrained.
education_answer_only-test-015-near-stable,education_answer_only-test-015,education_answer_only-test-015-near,test,education_answer_only,education,stable,near,inside,"Session 1: I consistently prefer answer-only assistance for exercises.
Session 2: The final result is my persistent preference when asking for help.
Session 3: There was an unrelated request to rename several documents.
Session 4: Just tell me the correct answer.
Session 5: We briefly talked about a grocery list for the weekend.
Session 6: Across subjects, I usually work through the reasoning independently.
Session 7: Even without time pressure, I want only the answer.",I am unsure whether I want speed or explanation for this one.,APPLY,answer-only assistance,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a timed drill where you want only the answer, or a study question requiring explanation?",I will provide only the final answer.,I will explain the reasoning because the answer-only constraint does not apply here.
food_quick_meals-train-032-outside-stable,food_quick_meals-train-032,food_quick_meals-train-032-outside,train,food_quick_meals,food,stable,outside,inside,"Session 1: Even when I am free, I usually choose simple meals.
Session 2: I generally prefer quick meals because I dislike lengthy cooking.
Session 3: We also discussed a calendar reminder for next month.
Session 4: There was a separate exchange about organizing files on a laptop.
Session 5: For this request, prioritize speed and convenience.
Session 6: Across weekdays and weekends, preparation time is a major priority.
Session 7: Fast recipes are my persistent cooking preference.",The deadline is over and I want a slow weekend cooking project.,APPLY,quick-to-prepare meals,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Are you still under time pressure, or do you have time for a longer recipe?","I will prioritize a fast, low-preparation meal.",I will consider a more involved recipe instead of assuming you are still time-constrained.
writing_formality-test-014-inside-stable,writing_formality-test-014,writing_formality-test-014-inside,test,writing_formality,writing,stable,inside,inside,"Session 1: Across audiences, I generally avoid casual expressions.
Session 2: Please rewrite this message in a formal tone.
Session 3: A formal tone is a stable writing preference for me.
Session 4: Another short conversation concerned a book recommendation.
Session 5: Professional language is my default even with familiar colleagues.
Session 6: We briefly talked about a grocery list for the weekend.
Session 7: I consistently prefer formal wording in written communication.",Help me write to a potential employer.,APPLY,formal writing style,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,Who is the recipient: an official contact or someone you know casually?,"I will use a formal, professional tone suitable for the recipient.",I will use a natural informal tone rather than transferring the official style.
travel_proximity-train-028-near-stable,travel_proximity-train-028,travel_proximity-train-028-near,train,travel_proximity,travel,stable,near,inside,"Session 1: Even on relaxed vacations, I dislike long travel from the hotel.
Session 2: I generally prioritize location over hotel amenities.
Session 3: We briefly talked about a grocery list for the weekend.
Session 4: Proximity is a persistent accommodation preference for me.
Session 5: Find a hotel as close to the venue as possible.
Session 6: Another message asked for a summary of a news article.
Session 7: Across trips, staying close to the main destination is my default.",I have not said whether this visit is business or leisure.,APPLY,accommodation close to the destination,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a tightly scheduled short visit, or a relaxed leisure trip?",I will prioritize hotels close to the main destination.,I will consider quieter or more comfortable areas instead of assuming proximity is essential.
education_detail-test-003-inside-scoped,education_detail-test-003,education_detail-test-003-inside,test,education_detail,education,scoped,inside,inside,"Session 1: It is not a universal response-style preference.
Session 2: For routine checks and timed quizzes, I usually want only the answer.
Session 3: The detailed request is limited to unfamiliar learning material.
Session 4: We briefly talked about a grocery list for the weekend.
Session 5: We also discussed a calendar reminder for next month.
Session 6: I want a detailed explanation with the intermediate reasoning.
Session 7: This topic is new to me, so I need extra detail for this lesson.","I am new to this subject, so build the explanation from first principles.",APPLY,detailed step-by-step explanations,user,current_goal,context-dependent,the user is learning unfamiliar material or explicitly studying for understanding,the user is checking a known result or taking a timed quiz,"Are you learning this from scratch, or do you only want the final answer checked?",I will explain the method carefully and include the intermediate steps.,I will provide a concise verification rather than a full tutorial.
travel_comfort-train-033-inside-stable,travel_comfort-train-033,travel_comfort-train-033-inside,train,travel_comfort,travel,stable,inside,inside,"Session 1: I generally prioritize comfort on every trip.
Session 2: For this trip, choose the most comfortable option.
Session 3: We also discussed the weather for an unrelated day trip.
Session 4: We also discussed a calendar reminder for next month.
Session 5: Comfort is a persistent travel preference for me.
Session 6: Even for short journeys, I avoid inconvenient travel options.
Session 7: Across trips, I am willing to pay more for an easier experience.","My back is still painful, so I need an easy journey.",APPLY,high-comfort travel,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,Do you still need extra comfort or accessibility support for this trip?,"I will prioritize comfort, accessibility, and a low-strain itinerary.",I will not assume the temporary comfort requirement still applies.
food_vegetarian-train-012-inside-scoped,food_vegetarian-train-012,food_vegetarian-train-012-inside,train,food_vegetarian,food,scoped,inside,inside,"Session 1: I normally eat meat and fish myself.
Session 2: We also discussed a calendar reminder for next month.
Session 3: The vegetarian guest is my sister, not me.
Session 4: Please suggest a vegetarian meal.
Session 5: It should not be stored as my own general diet.
Session 6: There was an unrelated request to rename several documents.
Session 7: This meat-free request applies only when I am cooking for her.",Recommend a dish for my sister's vegetarian birthday meal.,APPLY,vegetarian meals,sister,other_owner,context-dependent,the meal is for the vegetarian sister or another explicitly vegetarian guest,the meal is for the user alone and no vegetarian guest is involved,"Is this meal for you, or for the vegetarian guest you mentioned?",I will recommend a fully vegetarian meal.,I will not treat another person's diet as your own preference.
education_detail-test-014-outside-scoped,education_detail-test-014,education_detail-test-014-outside,test,education_detail,education,scoped,outside,outside,"Session 1: It is not a universal response-style preference.
Session 2: Another message asked for a summary of a news article.
Session 3: There was a separate exchange about organizing files on a laptop.
Session 4: The detailed request is limited to unfamiliar learning material.
Session 5: I want a detailed explanation with the intermediate reasoning.
Session 6: For routine checks and timed quizzes, I usually want only the answer.
Session 7: This topic is new to me, so I need extra detail for this lesson.",I only need a quick correctness check on a familiar exercise.,IGNORE,detailed step-by-step explanations,user,current_goal,context-dependent,the user is learning unfamiliar material or explicitly studying for understanding,the user is checking a known result or taking a timed quiz,"Are you learning this from scratch, or do you only want the final answer checked?",I will explain the method carefully and include the intermediate steps.,I will provide a concise verification rather than a full tutorial.
food_spiciness-train-036-inside-stable,food_spiciness-train-036,food_spiciness-train-036-inside,train,food_spiciness,food,stable,inside,inside,"Session 1: Even when others order spicy food, I select the mild option.
Session 2: For this meal, avoid strong chili heat.
Session 3: Across cuisines, I consistently choose mild dishes.
Session 4: We also discussed the weather for an unrelated day trip.
Session 5: Avoiding chili heat is a persistent preference for me.
Session 6: There was an unrelated request to rename several documents.
Session 7: I generally dislike spicy food.","The treatment continues, so recommend something gentle.",APPLY,mild food,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is your stomach still sensitive, or has the temporary restriction ended?",I will recommend a mild dish with little or no chili heat.,I will not assume the temporary mild-food restriction still applies.
travel_comfort-train-019-near-stable,travel_comfort-train-019,travel_comfort-train-019-near,train,travel_comfort,travel,stable,near,inside,"Session 1: Comfort is a persistent travel preference for me.
Session 2: There was an unrelated request to rename several documents.
Session 3: I generally prioritize comfort on every trip.
Session 4: For this trip, choose the most comfortable option.
Session 5: Even for short journeys, I avoid inconvenient travel options.
Session 6: There was a separate exchange about organizing files on a laptop.
Session 7: Across trips, I am willing to pay more for an easier experience.","Plan the trip, but I have not said whether the injury has healed.",APPLY,high-comfort travel,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,Do you still need extra comfort or accessibility support for this trip?,"I will prioritize comfort, accessibility, and a low-strain itinerary.",I will not assume the temporary comfort requirement still applies.
education_examples-test-014-outside-scoped,education_examples-test-014,education_examples-test-014-outside,test,education_examples,education,scoped,outside,outside,"Session 1: The request for examples applies only to abstract learning sessions.
Session 2: Another message asked for a summary of a news article.
Session 3: This concept is unusually abstract, so examples are needed for this topic.
Session 4: Please teach this with several concrete examples.
Session 5: We briefly talked about a grocery list for the weekend.
Session 6: It is not required in every educational response.
Session 7: For reference sheets, I prefer compact definitions without examples.","I need a compact reference entry, not a worked example.",IGNORE,example-driven teaching,user,contextual_preference,context-dependent,"the concept is abstract, unfamiliar, or explicitly taught for understanding","the user requests a compact reference, formula sheet, or glossary entry","Is this for learning the idea, or for a compact reference sheet?",I will include concrete examples and connect them to the abstract idea.,I will keep this as a compact reference without adding worked examples.
food_spiciness-train-043-outside-stable,food_spiciness-train-043,food_spiciness-train-043-outside,train,food_spiciness,food,stable,outside,inside,"Session 1: Across cuisines, I consistently choose mild dishes.
Session 2: Another short conversation concerned a book recommendation.
Session 3: We also discussed the weather for an unrelated day trip.
Session 4: Please make the dish mild rather than spicy.
Session 5: Avoiding chili heat is a persistent preference for me.
Session 6: I generally dislike spicy food.
Session 7: Even when others order spicy food, I select the mild option.",I am healthy now and would like strong spice.,APPLY,mild food,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is your stomach still sensitive, or has the temporary restriction ended?",I will recommend a mild dish with little or no chili heat.,I will not assume the temporary mild-food restriction still applies.
education_answer_only-train-029-inside-scoped,education_answer_only-train-029,education_answer_only-train-029-inside,train,education_answer_only,education,scoped,inside,inside,"Session 1: Outside timed practice, I normally want explanations and hints.
Session 2: For this question, do not include the derivation.
Session 3: This is a timed practice round, so I need only the answer right now.
Session 4: The answer-only request is limited to speed drills.
Session 5: Another short conversation concerned a book recommendation.
Session 6: Another message asked for a summary of a news article.
Session 7: It is a temporary task constraint, not my general learning style.","For this speed round, output only the result.",APPLY,answer-only assistance,user,temporary_constraint,context-dependent,"the user is in a timed drill, speed test, or explicitly requests answer-only output","the user is studying, reviewing mistakes, or asks for conceptual understanding","Is this a timed drill where you want only the answer, or a study question requiring explanation?",I will provide only the final answer.,I will explain the reasoning because the answer-only constraint does not apply here.
travel_budget-test-007-inside-stable,travel_budget-test-007,travel_budget-test-007-inside,test,travel_budget,travel,stable,inside,inside,"Session 1: I generally choose the least expensive clean hotel, even when someone else pays.
Session 2: There was a separate exchange about organizing files on a laptop.
Session 3: There was an unrelated request to rename several documents.
Session 4: Recommend an inexpensive hotel that is still acceptable.
Session 5: Budget hotels are my default travel preference.
Session 6: Saving money on accommodation is a persistent priority for me.
Session 7: Across my trips, I care more about price than luxury.",Find lodging for a trip with a firm reimbursement ceiling.,APPLY,budget-conscious accommodation,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Will you pay personally, or is this trip reimbursed without a cap?","I will prioritize inexpensive, clean accommodation.",I will consider comfort and quality rather than assuming price is the main criterion.
food_spiciness-train-041-near-stable,food_spiciness-train-041,food_spiciness-train-041-near,train,food_spiciness,food,stable,near,inside,"Session 1: I generally dislike spicy food.
Session 2: Avoiding chili heat is a persistent preference for me.
Session 3: Another short conversation concerned a book recommendation.
Session 4: Even when others order spicy food, I select the mild option.
Session 5: For this meal, avoid strong chili heat.
Session 6: We briefly talked about a grocery list for the weekend.
Session 7: Across cuisines, I consistently choose mild dishes.",I need dinner; my current stomach condition is unclear.,APPLY,mild food,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is your stomach still sensitive, or has the temporary restriction ended?",I will recommend a mild dish with little or no chili heat.,I will not assume the temporary mild-food restriction still applies.
